phi,T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.9692307692307693,1584.3104972400427,0.17082605429818237,1.900940588453199e-05,4.735096467475009e-11,1.557914850761737e-11,5.089324796726108e-07,0.12247019632373216,9.627609168985775e-15,1.607152698579118e-13,5.859802867900613e-20,9.277762518012919e-19,1.87291482509351e-15,5.0814020626260905e-17,1.836187150719289e-11,8.130046336648223e-09,0.1178877707690106,0.02876522773099311,2.6591550079636584e-09,8.792422334489028e-09,2.3819341439831454e-14,1.9949934745070495e-16,9.458359253716212e-13,3.4490550490834713e-20,1.006030698306595e-13,1.2909401761422058e-18,2.2096740251211327e-15,4.116327559946276e-20,1.797814184783288e-18,1.551755175211524e-16,1.999109010202961e-13,1.0944746491132738e-17,0.5600312128753567,0.0,2.386004263142949e-29,1.0204939140277588e-27,1.302799652250697e-18,1.221898801269866e-16
2.0615384615384618,1526.571997718786,0.1870759338203984,1.0423793904922761e-05,9.43036373743021e-12,2.661816142009683e-12,1.9758037632810858e-07,0.11377028372232555,1.6806295358941692e-15,4.517715248764809e-14,1.3467906267829973e-20,3.1882317373366493e-19,1.23040250586687e-15,3.0044178405636974e-17,2.5772949519065416e-11,2.2838015561845603e-08,0.12275106787313345,0.027674689739700893,1.8825010955218994e-09,1.0160556126622044e-08,2.1961986179186468e-14,1.6946845738920335e-16,1.5915736858800703e-12,2.3421597099571043e-20,1.9005238893443397e-13,2.122008616683693e-18,7.820587459016439e-15,1.2715998289724965e-19,1.0486434269787641e-17,1.3395911830906745e-16,3.4708544035799013e-13,1.3048060462539737e-17,0.5487173685490151,0.0,1.554349562181744e-28,1.2615469906709779e-26,1.950382939733543e-18,3.347306282400147e-16
2.1538461538461537,1470.3674619213243,0.20285729781596887,5.515233649929439e-06,1.7612922817565897e-12,4.29177109243877e-13,7.373776182834037e-08,0.10523754073695599,2.751475042660887e-16,1.2106137685652907e-14,2.8238188355438777e-21,1.0118734723954263e-19,7.647422610621744e-16,1.6720552600116537e-17,3.528069030309137e-11,6.433359146429056e-08,0.12724445671253132,0.02680435302895627,1.292966396052351e-09,1.1589364290258872e-08,1.962801447301841e-14,1.390393442717326e-16,2.655127790212732e-12,1.4892397362828126e-20,3.5094613469663045e-13,3.361761668588062e-18,2.7510639435825016e-14,3.8511557123544925e-19,6.145029755562315e-17,1.1108206924694714e-16,5.949950318366428e-13,1.508715760566188e-17,0.53785068547712,0.0,9.957955118878836e-28,1.5720572025275713e-25,2.8416722457234754e-18,9.131083730312632e-16
2.246153846153846,1415.6229886313645,0.2181708719087109,2.811052678359575e-06,3.061280984572217e-13,6.467233781511979e-14,2.633687024688879e-08,0.0968895829238908,4.187009149977094e-17,3.0727493048723988e-15,5.380816584788896e-22,2.961278963229486e-20,4.504185404940846e-16,8.76934253899188e-18,4.7349455236738366e-11,1.8330745026287107e-07,0.13141659887316925,0.026114330688815947,8.615160424134316e-10,1.308035339214834e-08,1.7042197287085736e-14,1.1038900106019764e-16,4.4144513466946776e-12,8.89417634294317e-21,6.384302417429355e-13,5.173668841209515e-18,9.730693177969434e-14,1.156933514899918e-18,3.671858656037533e-16,8.872085989257258e-17,1.013307473334589e-12,1.6999337482988065e-17,0.5274055809126373,0.0,6.387574006773773e-27,2.0169229036841506e-24,4.054402957365286e-18,2.503368653151779e-15
2.3384615384615386,1362.270476217334,0.2330224580184538,1.3773213804309824e-06,4.912011474014866e-14,9.019391718301423e-15,8.959976667707893e-09,0.08873711274828947,5.867564625404952e-18,7.337586052277337e-16,9.27282479865376e-23,7.969259345317574e-21,2.515182439335322e-16,4.334382775622027e-18,6.25669159820333e-11,5.323947973935497e-07,0.13530676238421566,0.025573361813474797,5.565296208822112e-10,1.4636523403198525e-08,1.4395539274718203e-14,8.489923726140923e-17,7.347277127664903e-12,4.99810412669976e-21,1.1518309050022044e-12,7.784910115168088e-18,3.4964165158796403e-13,3.482464879240631e-18,2.2672319991716105e-15,6.837303421414035e-17,1.7234825276190427e-12,1.873313317396552e-17,0.5173583710931368,0.0,4.1676407916995644e-26,2.715297661673465e-23,5.693260593223318e-18,6.953823178797649e-15
2.4307692307692306,1310.2479944511558,0.24741963399263392,6.471092050745217e-07,7.214361702782467e-15,1.1524014044639464e-15,2.888649377777585e-09,0.08078717954946742,7.498410011508892e-19,1.636610467213709e-16,1.4367429020093448e-23,1.9648438059251072e-21,1.331136313687215e-16,2.017238758096819e-18,8.169144959864204e-11,1.587495296978537e-06,0.1389478466102051,0.02515571423881874,3.481671245377572e-10,1.6262202086631835e-08,1.1838688440711423e-14,6.327299223338051e-17,1.2288924360214472e-11,2.644774102587519e-21,2.073236628272732e-12,1.1516746478885669e-17,1.2884145419927933e-12,1.059926399551109e-17,1.4647129276301655e-14,5.089581564324095e-17,2.9413974980826783e-12,2.024982112525954e-17,0.5076873714050159,0.0,2.8060865080787467e-25,3.90463087192175e-22,7.901621219455631e-18,1.9717054557272974e-14
2.523076923076923,1259.5035920808614,0.26136785188579464,2.907108231022573e-07,9.611754348086817e-16,1.3347408260031597e-16,8.776914582102608e-10,0.07304630888266739,8.648357304100786e-20,3.383313111502173e-17,1.9882224392069915e-24,4.418439567304503e-22,6.670312800033686e-17,8.826492017110193e-19,1.0571902246208718e-10,4.893052936828885e-06,0.1423683330796981,0.024838811015572622,2.1063420751793498e-10,1.7962775578905053e-08,9.480828911442939e-15,4.5685294975997e-17,2.072682359925863e-11,1.317876133070313e-21,3.74356153234248e-12,1.6832618168502093e-17,4.913089454359132e-12,3.289593869899634e-17,1.0018909785659793e-13,3.6615262229489864e-17,5.059046287285049e-12,2.1524204226145328e-17,0.49837349218107607,0.0,1.9764099223040027e-24,6.100919911183632e-21,1.0879133272765267e-17,5.7465782472578e-14
2.6153846153846154,1210.0115826720908,0.2748623797015717,1.2451940632452272e-07,1.1514009740996158e-16,1.3868733242464547e-17,2.4995592617400196e-10,0.06552531882492531,8.910153143346455e-21,6.432243905441385e-18,2.441191966673601e-25,9.021083589441417e-23,3.160854194520459e-17,3.6244889898822823e-19,1.3596930256550068e-10,1.5687566009944406e-05,0.14559254861707596,0.02460132179683298,1.2303241509223497e-10,1.9743772669264784e-08,7.392622751482999e-15,3.194008969258443e-17,3.53556781513284e-11,6.182720149554677e-22,6.815680590927738e-12,2.441322506854904e-17,1.9549943354334595e-11,1.0491256335237066e-16,7.33624554012848e-13,2.5466483184723016e-17,8.803811724809143e-12,2.254442660810744e-17,0.4894025986500081,0.0,1.4745490037576514e-23,1.0523247065347043e-19,1.4907085737002813e-17,1.7325538269962223e-13
2.707692307692308,1161.8360910067565,0.2878638355759304,5.077360196381638e-08,1.2335031737476274e-17,1.2841263112588226e-18,6.648650805288524e-11,0.05825153886721309,8.145805945176528e-22,1.1187314101058832e-18,2.6510993553223476e-26,1.6688517214323476e-23,1.416192810084279e-17,1.396123124695279e-19,1.7414564927431065e-10,5.252536999537345e-05,0.1486359074208394,0.02442178148336446,6.932609946868056e-11,2.1607124123650438e-08,5.612496906818006e-15,2.1616578074852264e-17,6.10971235774752e-11,2.733457226712019e-22,1.2560782083801838e-11,3.525870359047129e-17,8.16395034669281e-11,3.456560483307499e-16,5.791940243486005e-12,1.7137324068721932e-17,1.5544587357532364e-11,2.3309703574180713e-17,0.4807743384147905,0.0,1.1753722247369636e-22,2.0247795010123167e-18,2.0377347740719852e-17,5.425885754798221e-13
2.8000000000000003,1115.3703231721151,0.3002139142542035,1.981877902750269e-08,1.1965610152087647e-18,1.0725403123900663e-19,1.6633457712216845e-11,0.05130814007294553,6.690116782017012e-23,1.79533646023568e-19,2.5836475936133295e-27,2.829195928239701e-24,6.03587894583953e-18,5.079807016709125e-20,2.220735377960747e-10,0.0001825787840386933,0.1514821699758682,0.024278849836098633,3.782080785346546e-11,2.3535960785447194e-08,4.156909470814932e-15,1.419939325139348e-17,1.0664219078158695e-10,1.1471868856925203e-22,2.3404165521360106e-11,5.0722826128285324e-17,3.556341206919618e-10,1.1711560180818948e-15,4.882494296122817e-11,1.1200018519504413e-17,2.7793454942387574e-11,2.3822035317037696e-17,0.47253430288151793,0.0,9.925143620046751e-22,4.28668854111346e-17,2.777732530518555e-17,1.7557308302952689e-12
