grid,velocity,T,density,X_H,X_H2,X_O,X_O2,X_H2O,X_OH,X_H2O2,X_HO2,X_AR,X_N2
0.0,2.3309609127161663,300.0,0.849472108551586,3.929353657974673e-15,0.29585798816567677,0.0,0.14792899408285393,3.983500297184722e-18,4.984688378649349e-15,4.966623525649121e-17,0.0,0.0,0.5562130177514603
0.012,2.3309609127165785,300.0000000000551,0.8494721085514325,3.1624123564096284e-19,0.2958579881656783,0.0,0.14792899408284943,3.829839866481044e-15,1.6202416688616064e-17,4.9668687203643925e-17,0.0,0.0,0.5562130177514684
0.018000000000000002,2.330960912716517,300.0000000000474,0.8494721085514557,0.0,0.29585798816567743,0.0,0.1479289940828505,3.3599445854755047e-15,0.0,4.9669905721167987e-17,0.0,0.0,0.5562130177514687
0.022,2.3309609127160646,300.000000000043,0.8494721085516211,0.0,0.2958579881655376,0.0,0.14792899408288127,3.065948312331115e-15,0.0,4.967079333623518e-17,0.0,0.0,0.556213017751578
0.024,2.330960912698379,300.00000000006065,0.8494721085580664,0.0,0.2958579881595842,0.0,0.14792899408416804,2.9282614470584072e-15,0.0,4.96814442554861e-17,0.0,0.0,0.5562130177562448
0.025,2.330960912321303,300.0000000008276,0.8494721086954842,0.0,0.29585798803164554,0.0,0.14792899411181618,2.9562442530652154e-15,0.0,5.036546241148831e-17,0.0,0.0,0.5562130178565352
0.026000000000000002,2.330960901527139,300.0000000405356,0.849472112629201,0.0,0.2958579843231962,0.0,0.14792899491322353,1.0637680701877434e-14,0.0,1.114435888581633e-16,0.0,0.0,0.5562130207635695
0.026500000000000003,2.3309607854761993,300.00000081541435,0.849472154921648,1.154692139093344e-19,0.29585794354953465,3.472562722303661e-15,0.14792900372446294,2.468127295796187e-13,5.2495067030867076e-18,2.1648664977144406e-15,1.4007079682500379e-14,0.0,0.556213052725736
0.027000000000000003,2.3309591139143544,300.0000212349765,0.8494727640894374,6.574079320805861e-18,0.29585733222720806,1.6849616316042503e-13,0.14792913582888015,9.933053526864152e-12,3.3811122362752605e-16,9.489623023778339e-14,7.168942280780183e-13,0.0,0.556213531932998
0.027250000000000003,2.330950182757285,300.0002255735031,0.8494760188885283,2.035761305958527e-16,0.29585381870997723,2.0336966744579986e-12,0.14792989503713241,1.6009883984839245e-10,1.4597794317086328e-14,1.6768838880494517e-12,1.2539586202312454e-11,0.0,0.5562162860765266
0.027500000000000004,2.33088778662275,300.00302016880255,0.8494987587301503,1.3073650329294194e-14,0.29582572255769074,3.0587556291945635e-11,0.14793596507948498,3.3137817380871957e-09,1.0682040526526155e-12,3.818900104877827e-11,2.817967701372037e-10,0.0,0.5562383086973879
0.027625000000000004,2.3307391745146386,300.01770266222326,0.8495529242933391,4.144944973361296e-13,0.29573795820221555,1.9806132501726437e-10,0.14795491809238032,2.851614017053211e-08,3.4660676650765175e-11,3.5875167573202154e-10,2.584657501842629e-09,0.0,0.5563070920127183
0.027687500000000004,2.3305915909979333,300.05994649492067,0.8496067217965919,4.473857237282644e-12,0.29557895147623986,7.295948791240123e-10,0.14798922424759428,1.3534362674033117e-07,3.7191110085415487e-10,1.8458361562089229e-09,1.2835899272325019e-08,0.0,0.5564316731448239
0.027750000000000004,2.3306531198793454,300.2361147010162,0.849584292315518,4.325113377067806e-11,0.2951419787936853,3.152724596539089e-09,0.148083326050507,7.739372661095315e-07,3.5775296319749917e-09,1.1534154060622201e-08,7.66099363717325e-08,0.0,0.5567738263009457
0.027781250000000004,2.3314546468235786,300.5336249432009,0.8492922151455962,1.92743772549015e-10,0.2946372936879158,7.605338141628064e-09,0.1481916208342932,2.280838815781253e-06,1.550325836160119e-08,3.636740558622572e-08,2.299145574765923e-07,0.0,0.5571685150556719
0.027796875000000006,2.332734413283957,300.85917972300416,0.8488262831247532,4.6370372855139755e-10,0.29421992074334946,1.281540057309238e-08,0.14828071751460978,4.434123157082827e-06,3.608328207220713e-08,7.433678588813852e-08,4.5338330454161655e-07,0.0,0.5574943505364067
0.027812500000000004,2.335471791911891,301.44255342494097,0.8478313839900552,1.1431509352673924e-09,0.29362125343599765,2.268212468266111e-08,0.14840762052427378,9.249739093861675e-06,8.548395526139817e-08,1.642298677071197e-07,9.65473759046186e-07,0.0,0.5579606372877771
0.027828125000000002,2.341008872582512,302.4872357446526,0.8458260474397611,2.989928765148506e-09,0.2927638734145471,4.143336886388313e-08,0.14858734434643786,1.9990126482474285e-05,2.043578142793218e-07,3.761592164029965e-07,2.136002747182469e-06,0.0,0.5586260311694571
0.027835937500000005,2.345753818107535,303.3186521603866,0.844115126882543,5.442352831021658e-09,0.2921964401127182,5.729139391355894e-08,0.14870457188465508,3.029747668136005e-05,3.2789102165518354e-07,5.889259659128498e-07,3.284148456783841e-06,0.0,0.5590644268267541
0.027843750000000004,2.352663420746071,304.4771001414609,0.8416360217400667,1.0552763518944826e-08,0.2915079003775464,8.049374380052028e-08,0.14884457873786028,4.6881783585114154e-05,5.337853969088024e-07,9.434387171426638e-07,5.170501510528079e-06,0.0,0.5595939003288763
0.027851562500000003,2.362638402988234,306.0893415704099,0.8380826619900439,2.2475955169663374e-08,0.29067374531885054,1.1468481644281042e-07,0.1490105478643114,7.348468632931532e-05,8.794069035731798e-07,1.530688117017229e-06,8.25987218791962e-06,0.0,0.5602314150025286
0.027855468750000004,2.3692442574371415,307.1312156425252,0.835745945563454,3.548711544674501e-08,0.290190321252563,1.3812393039344965e-07,0.1491045081918326,9.279494212774331e-05,1.143694864282941e-06,1.966765700562631e-06,1.0537816858357202e-05,0.0,0.5605985537250077
